therapeutic_class,pdl_name,status
ANALGESICS : Agents for Dependency,Lucemyra,Preferred
ANALGESICS : Agents for Dependency,Vivitrol injection,Preferred
ANALGESICS : Agents for Dependency,lofexidine,Non-Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,buprenorphine/ naloxone tablets,Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,buprenorphine/ naloxone film,Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,buprenorphine,Non-Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,Suboxone film,Non-Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,Zubsolv,Non-Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,buprenorphine/ naloxone tablets,Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,buprenorphine,Non-Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,buprenorphine/ naloxone film,Non-Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,Suboxone film,Non-Preferred
ANALGESICS : Buprenorphine and Buprenorphine/Naloxone,Zubsolv,Non-Preferred
ANALGESICS : Transmucosal Fentanyl Products,fentanyl lozenge,Non-Preferred
ANALGESICS : Transmucosal Fentanyl Products,Fentora,Non-Preferred
ANALGESICS : Transmucosal Fentanyl Products,Subsys,Non-Preferred
ANALGESICS : Naloxone Products,Kloxxado,Preferred
ANALGESICS : Naloxone Products,naloxone injection,Preferred
ANALGESICS : Naloxone Products,naloxone nasal spray (Rx & OTC),Preferred
ANALGESICS : Naloxone Products,Narcan,Preferred
ANALGESICS : Naloxone Products,Opvee,Preferred
ANALGESICS : Narcotic Agonist/Antagonists,nalbuphine,Preferred
ANALGESICS : Narcotic Agonist/Antagonists,butorphanol nasal spray,Non-Preferred
ANALGESICS : Narcotic Agonist/Antagonists,pentazocine/ naloxone,Non-Preferred
"ANALGESICS : Narcotics, Long-Acting ","fentanyl patch 12, 25, 50, 75, & 100 mcg",Preferred
"ANALGESICS : Narcotics, Long-Acting ",morphine ER tablets,Preferred
"ANALGESICS : Narcotics, Long-Acting ",tramadol ER,Preferred
"ANALGESICS : Narcotics, Long-Acting ",Belbuca,Non-Preferred
