therapeutic_class,capsule_name,pdl_name
ONCOLOGY AGENTS : Enzyme Inhibitors: MTOR,Afinitor tablet,Afinitor Disperz
RESPIRATORY : Inhaled: Beta Agonists-Corticosteroid Combination Products,Airduo Digihaler,AirDuo RespiClick
CENTRAL NERVOUS SYSTEM : Skeletal Muscle Relaxants,Baclofen tablet,baclofen solution
CENTRAL NERVOUS SYSTEM : Skeletal Muscle Relaxants,Baclofen tablet,baclofen suspension
CARDIOVASCULAR : ACEIs + Calcium Channel Blockers,Benazepril,benazepril/ amlodipine
CARDIOVASCULAR : ACEIs + Diuretics,Benazepril,benazepril/HCTZ
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Next Next Gen,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Next Test In Vitro Strips 100 ct,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Next Test In Vitro Strips 25 ct,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Next Test In Vitro Strips 50 ct,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Plus Test In Vitro Strips 50 ct,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Test In Vitro Strips 100 ct,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Test In Vitro Strips 25 ct,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Contour Test In Vitro Strips 50 ct,Bayer Meters: Breeze-2 & Contour
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,Dexcom G4,Dexcom G6; Dexcom G7
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,Dexcom G5,Dexcom G6; Dexcom G7
CARDIOVASCULAR : ACE Inhibitors (AEIs),Enalapril tablet,enalapril suspension
ANALGESICS : NSAID/Anti-Ulcer Agents,Esomeprazole,naproxen/  esomeprazole
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Freestyle Precision Neo Meter,"FreeStyle Meters:  Lite, Freedom Lite, InsuLinx"
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Freestyle Precision Neo Meter,"Freestyle Test Strips: Lite, InsuLinx"
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,Freestyle Precision Neo Meter,Freestyle; Freestyle Libre 2 Freestyle Libre 3
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,Freestyle Precision Neo Meter,Freestyle Libre Plus (2 and 3)
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),FreeStyle Precision Neo Strips 25 ct,"FreeStyle Meters:  Lite, Freedom Lite, InsuLinx"
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),FreeStyle Precision Neo Strips 25 ct,"Freestyle Test Strips: Lite, InsuLinx"
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,FreeStyle Precision Neo Strips 25 ct,Freestyle; Freestyle Libre 2 Freestyle Libre 3
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,FreeStyle Precision Neo Strips 25 ct,Freestyle Libre Plus (2 and 3)
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),FreeStyle Precision Neo Strips 50 ct,"FreeStyle Meters:  Lite, Freedom Lite, InsuLinx"
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),FreeStyle Precision Neo Strips 50 ct,"Freestyle Test Strips: Lite, InsuLinx"
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,FreeStyle Precision Neo Strips 50 ct,Freestyle; Freestyle Libre 2 Freestyle Libre 3
DIABETIC SUPPLIES : Continuous Glucose Monitors and Supplies,FreeStyle Precision Neo Strips 50 ct,Freestyle Libre Plus (2 and 3)
CENTRAL NERVOUS SYSTEM : Alzheimer’s: Cholinesterase Inhibitors,Galantamine oral solution,galantamine ER
CENTRAL NERVOUS SYSTEM : Alzheimer’s: Cholinesterase Inhibitors,Galantamine tablet,galantamine ER
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Humalog vial,Humalog KwikPen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Humalog vial,Humalog Jr Kwik Pen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Humalog vial,Humalog U-200 KwikPen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Humalog vial,Humalog TempoPen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Mixed Insulins,Humalog vial,Humalog Mix 50/50 KwikPen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Mixed Insulins,Humalog vial,Humalog Mix 75/25 KwikPen
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Insulin Glargine,"FreeStyle Meters:  Lite, Freedom Lite, InsuLinx"
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Insulin Glargine,"Freestyle Test Strips: Lite, InsuLinx"
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Insulin Glargine,insulin lispro KwikPen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Insulin Glargine,insulin lispro Jr Kwikpen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Mixed Insulins,Insulin Glargine,insulin aspart mix 70/30 FlexPen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Mixed Insulins,Insulin Glargine,insulin lispro mix 75/25 KwikPen
ENDOCRINE/METABOLIC AGENTS : Diabetes: Long-Acting Insulins,Insulin Glargine,insulin degludec FlexTouch
CENTRAL NERVOUS SYSTEM : Anticonvulsants,Lamictal tablet,Lamictal ODT
CENTRAL NERVOUS SYSTEM : Anticonvulsants,Lamictal tablet,Lamictal XR
CENTRAL NERVOUS SYSTEM : Mood Stabilizers,Lamictal tablet,Lamictal ODT
CENTRAL NERVOUS SYSTEM : Anticonvulsants,Lamotrigine tablet,lamotrigine ER
CENTRAL NERVOUS SYSTEM : Anticonvulsants,Lamotrigine tablet,lamotrigine ODT
GASTROINTESTINAL : Combination Products for H. pylori,Lansoprazole,lansoprazole/amox/ clarithromycin
ANALGESICS : Agents for Dependency,Lo Loestrin Fe,lofexidine
