therapeutic_class,capsule_name,pdl_name,status
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify Asimtufii,Abilify Asimtufii,Preferred
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify Maintena,Abilify Maintena,Preferred
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify MyCite,Abilify MyCite,Non-Preferred
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify tablet,Abilify tablets,Non-Preferred
"DERMATOLOGICS : Retinoids, Oral",Absorica LD capsule,Absorica &  Absorica LD,Non-Preferred
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Accu-Chek Guide Test Strips 100 ct,Accu-Chek Meters: Aviva & Compact Plus,Non-Preferred
DIABETIC SUPPLIES : Blood Glucose Meters and Test Strips  (OTC),Accu-Chek Guide Test Strips 50 ct,Accu-Chek Meters: Aviva & Compact Plus,Non-Preferred
CARDIOVASCULAR : Pulmonary Arterial Hypertension (PAH) Agents,Adcirca,Adcirca,Non-Preferred
CENTRAL NERVOUS SYSTEM : Antihyperkinesis: Stimulants,Adderall XR ER capsule,Adderall XR,Preferred
CARDIOVASCULAR : Pulmonary Arterial Hypertension (PAH) Agents,Adempas,Adempas,Non-Preferred
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Admelog,Admelog SoloStar,Non-Preferred
ENDOCRINE/METABOLIC AGENTS : Diabetes: Rapid-Acting Insulins,Admelog SoloStar,Admelog SoloStar,Non-Preferred
RESPIRATORY : Inhaled: Beta Agonists-Corticosteroid Combination Products,Advair Diskus,Advair Diskus,Preferred
RESPIRATORY : Inhaled: Beta Agonists-Corticosteroid Combination Products,Advair HFA,Advair HFA,Preferred
ONCOLOGY AGENTS : Enzyme Inhibitors: MTOR,Afinitor Disperz,Afinitor Disperz,Non-Preferred
CENTRAL NERVOUS SYSTEM : Antimigraine Preparations: CGRP Antagonists,Aimovig,Aimovig,Preferred
RESPIRATORY : Inhaled: Beta Agonists-Corticosteroid Combination Products,Airduo Respiclick,AirDuo RespiClick,Non-Preferred
RESPIRATORY : Inhaled: Beta Agonists-Corticosteroid Combination Products,Airsupra HFA,Airsupra,Non-Preferred
CENTRAL NERVOUS SYSTEM : Antimigraine Preparations: CGRP Antagonists,Ajovy,Ajovy autoinjector and prefilled syringe,Non-Preferred
ONCOLOGY AGENTS : Hormonal Agents: Anti-Androgens Second Generation,Akeega,Akeega,Non-Preferred
"RESPIRATORY : Inhaled: Beta Agonists, Short Acting",Albuterol HFA generic PROAIR,albuterol HFA,Preferred
OPHTHALMICS : Ophthalmic Alpha-2 Agonists,Alphagan P 0.001,Alphagan P,Preferred
RESPIRATORY : Inhaled: Steroids,Alvesco,Alvesco,Preferred
CARDIOVASCULAR : Pulmonary Arterial Hypertension (PAH) Agents,Alyq,Alyq,Preferred
CENTRAL NERVOUS SYSTEM : Sedative Hypnotics,Ambien,Ambien,Non-Preferred
