therapeutic_class,capsule_name,pdl_name,status
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify,Abilify tablets,Non-Preferred
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify Asimtufii,Abilify Asimtufii,Preferred
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify Maintena,Abilify Maintena,Preferred
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify MyCite,Abilify MyCite,Non-Preferred
CENTRAL NERVOUS SYSTEM : Atypical Antipsychotics,Abilify tablet,Abilify tablets,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Ankylosing Spondylitis,Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Crohn's Disease (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Crohn's Disease (pediatric),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Hidradenitis Suppurativa,Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Plaque Psoriasis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Psoriatic Arthritis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Rheumatoid Arthritis,Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Ulcerative Colitis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Uveitis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Giant Cell Arteritis","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Rheumatoid Arthritis","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,Actemra Cytokine Release Syndrome,"Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,Actemra prefilled syringe,"Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra prefilled syringe, Cytokine Release Syndrome","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra prefilled syringe, Giant Cell Arteritis","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra prefilled syringe, Rheumatoid Arthritis","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)","Actemra, Actemra ACTPen",Non-Preferred
