therapeutic_class,capsule_name,pdl_name,status
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Ankylosing Spondylitis,Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Crohn's Disease (pediatric),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Crohn’s Disease (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Hidradenitis Suppurativa,Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Plaque Psoriasis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Polyarticular Juvenile Idiopathic Arthritis (PJIA),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Psoriatic Arthritis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Rheumatoid Arthritis,Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Ulcerative Colitis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: TNF Inhibitors,Abrilada Uveitis (adult),Abrilada,Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Giant Cell Arteritis","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Rheumatoid Arthritis","Actemra, Actemra ACTPen",Non-Preferred
IMMUNOLOGICS : Immunomodulators: Interleukin Inhibitors,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)","Actemra, Actemra ACTPen",Non-Preferred
