therapeutic_class,pdl_name,status
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),celecoxib,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),diclofenac gel,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),"diclofenac Na DR 50, 75mg",Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),diclofenac patch,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),diclofenac potassium 50mg,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),flurbiprofen,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),ibuprofen,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),indomethacin,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),ketorolac injection,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),ketorolac tablet,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),meloxicam tablet,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),nabumetone,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),"naproxen tablet, EC",Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Pennsaid,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),sulindac,Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Caldolor,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Celebrex,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Daypro,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),"diclofenac Na DR 25mg, 100mg",Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),diclofenac ER,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),diclofenac potassium 25mg,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),diclofenac solution,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),etodolac,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),etodolac ER,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Feldene,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),fenoprofen,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),ibuprofen lysine injection,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Indocin suppository,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Indocin suspension,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),indomethacin suspension,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),"ketoprofen, ER",Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),ketorolac nasal,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Licart,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),meclofenamate,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),mefenamic acid,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),meloxicam capsule,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Mobic,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Nalfon,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Naprelan CR,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),naproxen Na,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),naproxen Na CR,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),naproxen susp,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Neoprofen,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),oxaprozin,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),piroxicam,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Relafen,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),Tolectin,Non-Preferred
Analgesics: Non-Steroidal Anti-Inflammatory Drugs (NSAIDs),tolmetin,Non-Preferred
Analgesics: Short Acting Opioids,Actiq,Preferred
Analgesics: Short Acting Opioids,codeine tablet,Preferred
Analgesics: Short Acting Opioids,hydromorphone liquid,Preferred
Analgesics: Short Acting Opioids,hydromorphone tablet,Preferred
Analgesics: Short Acting Opioids,morphine conc.  (10mg/ml),Preferred
Analgesics: Short Acting Opioids,morphine conc. (20mg/ml),Preferred
Analgesics: Short Acting Opioids,morphine tablet,Preferred
Analgesics: Short Acting Opioids,"oxycodone 20mg, 30mg",Preferred
Analgesics: Short Acting Opioids,"oxycodone 5mg, 10mg, 15mg",Preferred
Analgesics: Short Acting Opioids,oxycodone solution (1mg/ml),Preferred
Analgesics: Short Acting Opioids,"tramadol tablet (25mg, 50mg, 100mg)",Preferred
Analgesics: Short Acting Opioids,Dilaudid,Non-Preferred
Analgesics: Short Acting Opioids,fentanyl lozenge,Non-Preferred
Analgesics: Short Acting Opioids,fentanyl tablet,Non-Preferred
Analgesics: Short Acting Opioids,Fentora,Non-Preferred
Analgesics: Short Acting Opioids,hydromorphone suppository,Non-Preferred
Analgesics: Short Acting Opioids,meperidine solution,Non-Preferred
Analgesics: Short Acting Opioids,meperidine tablet,Non-Preferred
Analgesics: Short Acting Opioids,morphine suppository,Non-Preferred
Analgesics: Short Acting Opioids,Olinvyk,Non-Preferred
Analgesics: Short Acting Opioids,Oxaydo,Non-Preferred
Analgesics: Short Acting Opioids,oxycodone capsule 5mg,Non-Preferred
Analgesics: Short Acting Opioids,oxycodone conc (20mg/ml),Non-Preferred
Analgesics: Short Acting Opioids,oxymorphone,Non-Preferred
Analgesics: Short Acting Opioids,Roxicodone 30mg,Non-Preferred
Analgesics: Short Acting Opioids,"Roxicodone 5mg, 15mg",Non-Preferred
Analgesics: Short Acting Opioids,RoxyBond,Non-Preferred
Analgesics: Short Acting Opioids,tramadol solution,Non-Preferred
Analgesics: Short Acting Opioids,tramadol tablet (75mg),Non-Preferred
Analgesics: Long Acting Opioids,Butrans,Preferred
Analgesics: Long Acting Opioids,Conzip ER,Preferred
Analgesics: Long Acting Opioids,"fentanyl patch 12, 25mcg",Preferred
Analgesics: Long Acting Opioids,"fentanyl patch 50, 75, 100mcg",Preferred
Analgesics: Long Acting Opioids,morphine ER tablet 15mg,Preferred
Analgesics: Long Acting Opioids,morphine ER tablet >15mg,Preferred
Analgesics: Long Acting Opioids,OxyContin,Preferred
Analgesics: Long Acting Opioids,Belbuca,Non-Preferred
Analgesics: Long Acting Opioids,buprenorphine films,Non-Preferred
Analgesics: Long Acting Opioids,buprenorphine patch,Non-Preferred
Analgesics: Long Acting Opioids,"fentanyl patch 37.5, 62.5, 87.5mcg",Non-Preferred
Analgesics: Long Acting Opioids,hydrocodone ER capsule,Non-Preferred
Analgesics: Long Acting Opioids,hydrocodone ER tablet,Non-Preferred
Analgesics: Long Acting Opioids,hydromorphone ER,Non-Preferred
Analgesics: Long Acting Opioids,Hysingla ER,Non-Preferred
Analgesics: Long Acting Opioids,Kadian,Non-Preferred
Analgesics: Long Acting Opioids,levorphanol,Non-Preferred
Analgesics: Long Acting Opioids,methadone,Non-Preferred
Analgesics: Long Acting Opioids,Methadose,Non-Preferred
Analgesics: Long Acting Opioids,morphine ER capsule,Non-Preferred
Analgesics: Long Acting Opioids,MS Contin 15mg,Non-Preferred
Analgesics: Long Acting Opioids,MS Contin >15mg,Non-Preferred
Analgesics: Long Acting Opioids,oxycodone ER,Non-Preferred
Analgesics: Long Acting Opioids,oxymorphone ER,Non-Preferred
Analgesics: Long Acting Opioids,tramadol ER capsule,Non-Preferred
Analgesics: Long Acting Opioids,tramadol ER tablet,Non-Preferred
Analgesics: Long Acting Opioids,Zohydro ER,Non-Preferred
Analgesics: Opioid Combinations,apap/codeine liquid,Preferred
Analgesics: Opioid Combinations,apap/codeine tablet,Preferred
Analgesics: Opioid Combinations,hydrocodone/apap liquid,Preferred
Analgesics: Opioid Combinations,hydrocodone/apap tablet,Preferred
Analgesics: Opioid Combinations,oxycodone/apap liquid,Preferred
Analgesics: Opioid Combinations,oxycodone/apap tablet,Preferred
Analgesics: Opioid Combinations,tramadol/apap,Preferred
Analgesics: Opioid Combinations,Apadaz,Non-Preferred
Analgesics: Opioid Combinations,benzhydrocodone/apap,Non-Preferred
Analgesics: Opioid Combinations,dihydrocodeine/apap/caf,Non-Preferred
Analgesics: Opioid Combinations,hydrocodone/ibu,Non-Preferred
Analgesics: Opioid Combinations,Lortab solution,Non-Preferred
Analgesics: Opioid Combinations,pentazocine/naloxone,Non-Preferred
Analgesics: Opioid Combinations,Percocet,Non-Preferred
Analgesics: Opioid Combinations,Primlev,Non-Preferred
Analgesics: Opioid Combinations,Seglentis,Non-Preferred
Analgesics: Opioid Combinations,Ultracet,Non-Preferred
Analgesics: Opioid Use Disorder Treatments,Brixadi monthly,Preferred
Analgesics: Opioid Use Disorder Treatments,Brixadi weekly,Preferred
Analgesics: Opioid Use Disorder Treatments,buprenorphine,Preferred
Analgesics: Opioid Use Disorder Treatments,buprenorphine/naloxone tablet,Preferred
Analgesics: Opioid Use Disorder Treatments,naltrexone tablet,Preferred
Analgesics: Opioid Use Disorder Treatments,Sublocade,Preferred
Analgesics: Opioid Use Disorder Treatments,Suboxone film,Preferred
Analgesics: Opioid Use Disorder Treatments,Vivitrol,Preferred
Analgesics: Opioid Use Disorder Treatments,buprenorphine/naloxone film,Non-Preferred
Analgesics: Opioid Use Disorder Treatments,Zubsolv,Non-Preferred
Androgens: Topical Androgens,Androderm,Preferred
Androgens: Topical Androgens,Androgel,Preferred
Androgens: Topical Androgens,Testim,Preferred
Androgens: Topical Androgens,testosterone gel,Preferred
Androgens: Topical Androgens,Fortesta,Non-Preferred
Androgens: Topical Androgens,Natesto,Non-Preferred
Androgens: Topical Androgens,testosterone  solution,Non-Preferred
Androgens: Topical Androgens,Vogelxo,Non-Preferred
Androgens: Misc Androgens,testosterone cypionate,Preferred
Androgens: Misc Androgens,Aveed,Non-Preferred
Androgens: Misc Androgens,Azmiro,Non-Preferred
Androgens: Misc Androgens,danazol,Non-Preferred
Androgens: Misc Androgens,Depo-Testosterone,Non-Preferred
Androgens: Misc Androgens,Jatenzo,Non-Preferred
Androgens: Misc Androgens,Methitest,Non-Preferred
Androgens: Misc Androgens,methyltestosterone,Non-Preferred
Androgens: Misc Androgens,oxandrolone,Non-Preferred
Androgens: Misc Androgens,Testopel,Non-Preferred
Androgens: Misc Androgens,testosterone enanthate,Non-Preferred
Androgens: Misc Androgens,Tlando,Non-Preferred
Androgens: Misc Androgens,Xyosted,Non-Preferred
Antibiotics: 3rd Generation Cephalosporins,cefdinir,Preferred
Antibiotics: 3rd Generation Cephalosporins,cefixime,Non-Preferred
Antibiotics: 3rd Generation Cephalosporins,cefpodoxime,Non-Preferred
Antibiotics: Quinolones,Cipro suspension,Preferred
Antibiotics: Quinolones,"ciprofloxacin 250, 500, 750mg tablet",Preferred
Antibiotics: Quinolones,levofloxacin,Preferred
Antibiotics: Quinolones,moxifloxacin,Preferred
Antibiotics: Quinolones,Baxdela,Non-Preferred
Antibiotics: Quinolones,Cipro tablet,Non-Preferred
Antibiotics: Quinolones,ciprofloxacin 100mg tablet,Non-Preferred
Antibiotics: Quinolones,ciprofloxacin suspension,Non-Preferred
Antibiotics: Quinolones,ofloxacin tablet,Non-Preferred
Antibiotics: Tetracyclines,"doxycycline monohydrate 50, 100mg capsule",Preferred
Antibiotics: Tetracyclines,"doxycycline hyclate 50, 100mg",Preferred
Antibiotics: Tetracyclines,"minocycline 50, 75, 100mg capsule",Preferred
Antibiotics: Tetracyclines,demeclocycline,Non-Preferred
Antibiotics: Tetracyclines,Doryx,Non-Preferred
Antibiotics: Tetracyclines,doxycycline (unless listed preferred),Non-Preferred
Antibiotics: Tetracyclines,Emrosi,Non-Preferred
Antibiotics: Tetracyclines,minocycline ER capsule,Non-Preferred
Antibiotics: Tetracyclines,minocycline tablet,Non-Preferred
Antibiotics: Tetracyclines,Minolira,Non-Preferred
Antibiotics: Tetracyclines,Nuzyra,Non-Preferred
Antibiotics: Tetracyclines,Solodyn,Non-Preferred
Antibiotics: Tetracyclines,tetracycline,Non-Preferred
Antibiotics: Tetracyclines,Vibramycin,Non-Preferred
Antibiotics: Tetracyclines,Ximino,Non-Preferred
Anticoagulants: Oral,Eliquis,Preferred
