therapeutic_class,capsule_name,pdl_name
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G4,Dexcom G6 Receiver
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G4,Dexcom G6 Sensor
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G4,Dexcom G6 Transmitter
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G4,Dexcom G7 Receiver
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G4,Dexcom G7 Sensor
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G5,Dexcom G6 Receiver
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G5,Dexcom G6 Sensor
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G5,Dexcom G6 Transmitter
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G5,Dexcom G7 Receiver
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G5,Dexcom G7 Sensor
Antivirals: Nucleoside/Nucleotide Reverse Transcriptase Inhibitors (NRTIs),Epivir HBV oral solution,Epivir
Antivirals: Nucleoside/Nucleotide Reverse Transcriptase Inhibitors (NRTIs),Epivir HBV tablet,Epivir
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Freedom Lite Meter,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Freedom Lite Meter,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,Freestyle Freedom Lite Meter,FreeStyle
Diagnostic Products: Diabetic Testing Strips,Freestyle Freedom Lite Meter,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Insulinx Glucose System,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Insulinx Glucose System,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,Freestyle Insulinx Glucose System,FreeStyle
Diagnostic Products: Diabetic Testing Strips,Freestyle Insulinx Glucose System,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,FreeStyle InsuLinx Test Strips 100 ct,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,FreeStyle InsuLinx Test Strips 100 ct,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,FreeStyle InsuLinx Test Strips 100 ct,FreeStyle
Diagnostic Products: Diabetic Testing Strips,FreeStyle InsuLinx Test Strips 100 ct,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,FreeStyle InsuLinx Test Strips 50 ct,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,FreeStyle InsuLinx Test Strips 50 ct,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,FreeStyle InsuLinx Test Strips 50 ct,FreeStyle
Diagnostic Products: Diabetic Testing Strips,FreeStyle InsuLinx Test Strips 50 ct,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,Freestyle Libre,FreeStyle
Diagnostic Products: Diabetic Testing Strips,Freestyle Libre,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre 14-Day,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre 14-Day,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,Freestyle Libre 14-Day,FreeStyle
Diagnostic Products: Diabetic Testing Strips,Freestyle Libre 14-Day,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre 2,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre 2,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,Freestyle Libre 2,FreeStyle
Diagnostic Products: Diabetic Testing Strips,Freestyle Libre 2,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre 2 Plus,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,Freestyle Libre 2 Plus,FreeStyle Libre Sensor
Diagnostic Products: Diabetic Glucose Meters,Freestyle Libre 2 Plus,FreeStyle
Diagnostic Products: Diabetic Testing Strips,Freestyle Libre 2 Plus,Freestyle Test Strips
Diagnostic Products: Diabetic Continuous Glucose Monitors,FreeStyle Libre 2 Reader,FreeStyle Libre Reader
Diagnostic Products: Diabetic Continuous Glucose Monitors,FreeStyle Libre 2 Reader,FreeStyle Libre Sensor
