therapeutic_class,capsule_name,pdl_name
Mental Health: Atypical Antipsychotics,Abilify Asimtufii,Abilify Asimtufii
Mental Health: Atypical Antipsychotics,Abilify Maintena,Abilify Maintena
Mental Health: Atypical Antipsychotics,Abilify MyCite,Abilify Mycite
Mental Health: Atypical Antipsychotics,Abilify tablet,Abilify
Dermatological: Oral Acne Products,Absorica LD capsule,Absorica
Gastrointestinal (GI): Proton Pump Inhibitors,Aciphex,Aciphex
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Giant Cell Arteritis",Actemra
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Rheumatoid Arthritis",Actemra
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Rheumatoid Arthritis",Actemra
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra
Dermatological: Atopic Dermatitis (Non-Steroidal),Adbry Atopic Dermatitis (adult),Adbry
Pulmonary Hypertension: Phosphodiesterase-5 Enzyme (PDE-5) Inhibitors,Adcirca,Adcirca
Mental Health: Long Acting ADHD Stimulants,Adderall XR ER capsule,Adderall XR
Antidiabetics: Short Acting Insulin,Admelog,Admelog
Antidiabetics: Short Acting Insulin,Admelog SoloStar,Admelog
Respiratory: Asthma & COPD - Combination Products,Advair Diskus,Advair
Respiratory: Asthma & COPD - Combination Products,Advair HFA,Advair
Antihemophilia: Factor VIII,Advate,Advate
Antihemophilia: Factor VIII,Adynovate,Adynovate
Antihemophilia: Factor VIII,Afstyla,Afstyla
Neurological: Migraine - Prophylactic Therapy,Aimovig,Aimovig
Respiratory: Asthma & COPD - Combination Products,Airduo Digihaler,AirDuo
Respiratory: Asthma & COPD - Combination Products,Airduo Respiclick,AirDuo
Respiratory: Asthma & COPD - Short Acting Beta Agonists (SABA),Airsupra HFA,Airsupra
Neurological: Migraine - Prophylactic Therapy,Ajovy,Ajovy
Neurological: Migraine - Abortive Therapy,Almotriptan,almotriptan
Antihemophilia: Factor IX,Alprolix,Alprolix
Antihemophilia: Factor VIII,Altuviiio,Altuviiio
Respiratory: Asthma & COPD - Corticosteroids,Alvesco,Alvesco
"Central Nervous System: Hypnotics - Non Benzodiazepines, Non Barbiturates",Ambien,Ambien
"Central Nervous System: Hypnotics - Non Benzodiazepines, Non Barbiturates",Ambien CR,Ambien CR
Pulmonary Hypertension: Endothelin Antagonists,Ambrisentan,ambrisentan
Cardiovascular: Calcium Channel Blocking Agents,Amlodipine tablet,amlodipine
Muscle Relaxants: Antispasmodic Agents,Amrix,Amrix
Respiratory: Asthma & COPD - LABA/LAMA Combinations,Anoro Ellipta,Anoro Ellipta
Antidiabetics: Short Acting Insulin,Apidra,Apidra
Antidiabetics: Short Acting Insulin,Apidra SoloStar,Apidra
Mental Health: Antidepressants - Miscellaneous,Aplenzin,Aplenzin
Mental Health: Anticonvulsants,Aptiom,Aptiom
Antivirals: Protease Inhibitors,Aptivus,Aptivus
Hematopoietics: Erythropoiesis Stimulating Agents (ESAs),Aranesp,Aranesp
Cytokine Modulators: Immunomodulators,Arcalyst Cryopyrin Associated Periodic Syndromes (CAPS) including Familial Cold Autoinflammatory Syndrome (FCAS) and Muckle-Wells Syndrome (MWS),Arcalyst
Cytokine Modulators: Immunomodulators,Arcalyst Deficiency of Interleukin-1 Receptor Antagonist (DIRA),Arcalyst
Cytokine Modulators: Immunomodulators,Arcalyst Recurrent Pericarditis (RP),Arcalyst
Central Nervous System: Antidementia Agents - Oral,Aricept,Aricept
Respiratory: Cystic Fibrosis: Inhaled Aminoglycosides,Arikayce,Arikayce
Mental Health: Atypical Antipsychotics,Aripiprazole ODT,aripiprazole ODT
Mental Health: Atypical Antipsychotics,Aripiprazole oral solution,aripiprazole solution
Mental Health: Atypical Antipsychotics,Aripiprazole tablet,aripiprazole tablet
Mental Health: Atypical Antipsychotics,Aristada,Aristada
Mental Health: Atypical Antipsychotics,Aristada Initio,Aristada
Respiratory: Asthma & COPD - Corticosteroids,Armonair Digihaler,Armonair
Respiratory: Asthma & COPD - Corticosteroids,Arnuity Ellipta,Arnuity Ellipta
Mental Health: Atypical Antipsychotics,Asenapine,asenapine SL tablet
Respiratory: Asthma & COPD - Corticosteroids,Asmanex HFA,Asmanex
Respiratory: Asthma & COPD - Corticosteroids,Asmanex Twisthaler,Asmanex
Antivirals: Antiretrovirals- Combination Products,Atripla,Atripla
Neurological: Multiple Sclerosis Agents,Aubagio tablet,Aubagio
Gastrointestinal (GI): Phosphate Binders,Auryxia,Auryxia
Neurological: Movement Disorder Treatments - VMAT-2 Inhibitors,Austedo,"Austedo, XR"
Neurological: Movement Disorder Treatments - VMAT-2 Inhibitors,Austedo XR,"Austedo, XR"
Neurological: Movement Disorder Treatments - VMAT-2 Inhibitors,Austedo XR titration pack,"Austedo, XR"
Mental Health: Antidepressants - Miscellaneous,Auvelity,Auvelity
Epinephrine: Injection Devices,Auvi-Q 0.1 mg,Auvi-Q
Epinephrine: Injection Devices,Auvi-Q 0.15 mg,Auvi-Q
Epinephrine: Injection Devices,Auvi-Q 0.3 mg,Auvi-Q
Neurological: Multiple Sclerosis Agents,Avonex auto-injector,Avonex
Neurological: Multiple Sclerosis Agents,Avonex prefilled syringe,Avonex
Mental Health: Long Acting ADHD Stimulants,Azstarys,Azstarys
Muscle Relaxants: Antispasticity Agents,Baclofen 15 mg,baclofen 15mg tablet
Muscle Relaxants: Antispasticity Agents,Baclofen oral solution,baclofen suspension
Muscle Relaxants: Antispasticity Agents,Baclofen tablet,"baclofen 5mg, 10mg, 20mg tablet"
Neurological: Multiple Sclerosis Agents,Bafiertam,Bafiertam
Mental Health: Anticonvulsants,Banzel oral suspension,Banzel
Mental Health: Anticonvulsants,Banzel tablet,Banzel
Antidiabetics: Long Acting Insulin,Basaglar Kwikpen,Basaglar
Cardiovascular: Angiotensin Converting Enzyme (ACE) Inhibitors,Benazepril,benazepril
Antihemophilia: Factor IX,Benefix,Benefix
Cardiovascular: Beta-Adrenergic Blocking Agents - Cardio Nonselective,Betapace,Betapace
Cardiovascular: Beta-Adrenergic Blocking Agents - Cardio Nonselective,Betapace AF,Betapace AF
Respiratory: Cystic Fibrosis: Inhaled Aminoglycosides,Bethkis,Bethkis
Respiratory: Asthma & COPD - LABA/LAMA Combinations,Bevespi Aerosphere,Bevespi
Estrogens: Oral Combination,Bijuva capsule,Bijuva
Antivirals: Antiretrovirals- Combination Products,Biktarvy,Biktarvy
Cytokine Modulators: Immunomodulators,Bimzelx Ankylosing Spondylitis,Bimzelx
Cytokine Modulators: Immunomodulators,Bimzelx Hidradenitis Suppurativa,Bimzelx
Cytokine Modulators: Immunomodulators,Bimzelx Non-Radiographic Axial Spondyloarthritis,Bimzelx
Cytokine Modulators: Immunomodulators,Bimzelx Plaque Psoriasis (adult),Bimzelx
Cytokine Modulators: Immunomodulators,Bimzelx Psoriatic Arthritis (adult),Bimzelx
Pulmonary Hypertension: Endothelin Antagonists,Bosentan,bosentan
Neurological: Migraine - Prophylactic Therapy,Botox,Botox
Neurological: Migraine - Prophylactic Therapy,Botox Migraine prophylaxis,Botox
Respiratory: Asthma & COPD - Combination Products,Breo Ellipta,Breo Ellipta
Respiratory: Asthma & COPD - Combination Products,Breyna,Breyna
Respiratory: Asthma & COPD - LABA/LAMA Combinations,Breztri Aerosphere,Breztri
Cardiovascular: Platelet Aggregation Inhibitors,Brilinta,Brilinta
Neurological: Multiple Sclerosis Agents,Briumvi,Briumvi
Mental Health: Anticonvulsants,Briviact,Briviact
Respiratory: Asthma & COPD - Combination Products,Budesonide / Formoterol authorized generic Symbicort,budesonide/formoterol
Respiratory: Asthma & COPD - Corticosteroids,Budesonide respules (inhalation suspension),budesonide nebulizer
Antidiabetics: GLP-1 Agonists,Bydureon Bcise,Bydureon BCise
Antidiabetics: GLP-1 Agonists,Bydureon Pen,Bydureon BCise
Antidiabetics: GLP-1 Agonists,Byetta,Byetta
Cardiovascular: Angiotensin Receptor Blockers (ARBs),Candesartan,candesartan
Mental Health: Atypical Antipsychotics,Caplyta,Caplyta
Cardiovascular: Angiotensin Converting Enzyme (ACE) Inhibitors,Captopril,captopril
Cytokine Modulators: Immunomodulators,Cibinqo Atopic Dermatitis (adult),Cibinqo
Cytokine Modulators: Immunomodulators,Cimzia Ankylosing Spondylitis,Cimzia
Cytokine Modulators: Immunomodulators,Cimzia Crohn’s Disease (adult),Cimzia
Cytokine Modulators: Immunomodulators,Cimzia Non-Radiographic Axial Spondyloarthritis,Cimzia
Cytokine Modulators: Immunomodulators,Cimzia Plaque Psoriasis (adult),Cimzia
Cytokine Modulators: Immunomodulators,Cimzia Polyarticular Juvenile Idiopathic Arthritis (PJIA),Cimzia
Cytokine Modulators: Immunomodulators,Cimzia Psoriatic Arthritis (adult),Cimzia
Cytokine Modulators: Immunomodulators,Cimzia Rheumatoid Arthritis,Cimzia
Respiratory: Monoclonal Antibodies for Asthma,Cinqair Asthma (adult),Cinqair
Anti-infectives (NOS): Vaginal,Cleocin 2% cream,Cleocin
Anti-infectives (NOS): Vaginal,Cleocin ovules / vaginal suppository,Cleocin
Anti-infectives (NOS): Vaginal,Clindamycin 2% Cream,clindamycin vaginal cream
Anti-infectives (NOS): Vaginal,Clindesse 2% prefilled applicator cream,Clindesse
Mental Health: Anticonvulsants,Clobazam oral suspension,clobazam
Mental Health: Anticonvulsants,Clobazam tablet,clobazam
Mental Health: Atypical Antipsychotics,Clozapine ODT,clozapine ODT
Mental Health: Atypical Antipsychotics,Clozapine tablet,clozapine tablet
Mental Health: Atypical Antipsychotics,Clozaril,Clozaril
Mental Health: Atypical Antipsychotics,Cobenfy capsule,Cobenfy
Ophthalmics: Anti-Glaucoma - Beta Blockers,Combigan,Combigan
Respiratory: Asthma & COPD - Combination Products,Combivent Respimat inhalation aerosol solution,Combivent
Antivirals: Antiretrovirals- Combination Products,Complera,Complera
Mental Health: Long Acting ADHD Stimulants,Concerta ER,Concerta
Neurological: Multiple Sclerosis Agents,Copaxone 20 mg,Copaxone 20mg
Neurological: Multiple Sclerosis Agents,Copaxone 40 mg,Copaxone 40mg
Cytokine Modulators: Immunomodulators,Cosentyx Ankylosing Spondylitis,Cosentyx
Cytokine Modulators: Immunomodulators,Cosentyx Enthesitis-Related Arthritis (pediatric),Cosentyx
Cytokine Modulators: Immunomodulators,Cosentyx Hidradenitis Suppurativa,Cosentyx
Cytokine Modulators: Immunomodulators,Cosentyx Non-Radiographic Axial Spondyloarthritis,Cosentyx
Cytokine Modulators: Immunomodulators,Cosentyx Plaque Psoriasis (adult),Cosentyx
Cytokine Modulators: Immunomodulators,Cosentyx Plaque Psoriasis (pediatric),Cosentyx
Cytokine Modulators: Immunomodulators,Cosentyx Psoriatic Arthritis (adult),Cosentyx
Cytokine Modulators: Immunomodulators,Cosentyx Psoriatic Arthritis (pediatric),Cosentyx
Gastrointestinal (GI): Pancreatic Enzymes,Creon,Creon
Immune Globulin: Granulocyte Colony Stimulating Factors (G-CSFs),Cuvitru,Cuvitru
Muscle Relaxants: Antispasticity Agents,Dantrium,Dantrium
Antidiabetics: SGLT-2 Inhibitors,Dapagliflozin,dapagliflozin
Mental Health: Anticonvulsants,Depakote,Depakote
Antivirals: Antiretrovirals- Combination Products,Descovy,Descovy
Diagnostic Products: Diabetic Continuous Glucose Monitors,DexCom G6 Receiver,Dexcom G6 Receiver
Diagnostic Products: Diabetic Continuous Glucose Monitors,DexCom G6 Sensor,Dexcom G6 Sensor
Diagnostic Products: Diabetic Continuous Glucose Monitors,DexCom G7 Receiver,Dexcom G7 Receiver
Diagnostic Products: Diabetic Continuous Glucose Monitors,DexCom G7 Sensor,Dexcom G7 Sensor
Diagnostic Products: Diabetic Continuous Glucose Monitors,Dexcom G6 Transmitter,Dexcom G6 Transmitter
