therapeutic_class,capsule_name,pdl_name,status
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Giant Cell Arteritis",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Rheumatoid Arthritis",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Giant Cell Arteritis",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Rheumatoid Arthritis",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra vial, Coronavirus Disease 2019",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra vial, Cytokine Release Syndrome",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra vial, Giant Cell Arteritis",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra vial, Rheumatoid Arthritis",Actemra,Non-Preferred
Cytokine Modulators: Immunomodulators,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",Actemra,Non-Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Adbry Atopic Dermatitis (adult),Adbry,Preferred
Cytokine Modulators: Immunomodulators,Arcalyst Cryopyrin Associated Periodic Syndromes (CAPS) including Familial Cold Autoinflammatory Syndrome (FCAS) and Muckle-Wells Syndrome (MWS),Arcalyst,Non-Preferred
Cytokine Modulators: Immunomodulators,Arcalyst Deficiency of Interleukin-1 Receptor Antagonist (DIRA),Arcalyst,Non-Preferred
Cytokine Modulators: Immunomodulators,Arcalyst Recurrent Pericarditis (RP),Arcalyst,Non-Preferred
Cytokine Modulators: Immunomodulators,Bimzelx Ankylosing Spondylitis,Bimzelx,Non-Preferred
Cytokine Modulators: Immunomodulators,Bimzelx Hidradenitis Suppurativa,Bimzelx,Non-Preferred
Cytokine Modulators: Immunomodulators,Bimzelx Non-Radiographic Axial Spondyloarthritis,Bimzelx,Non-Preferred
Cytokine Modulators: Immunomodulators,Bimzelx Plaque Psoriasis (adult),Bimzelx,Non-Preferred
Cytokine Modulators: Immunomodulators,Bimzelx Psoriatic Arthritis (adult),Bimzelx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cibinqo Atopic Dermatitis (adult),Cibinqo,Non-Preferred
Cytokine Modulators: Immunomodulators,Cimzia Ankylosing Spondylitis,Cimzia,Non-Preferred
Cytokine Modulators: Immunomodulators,Cimzia Crohn’s Disease (adult),Cimzia,Non-Preferred
Cytokine Modulators: Immunomodulators,Cimzia Non-Radiographic Axial Spondyloarthritis,Cimzia,Non-Preferred
Cytokine Modulators: Immunomodulators,Cimzia Plaque Psoriasis (adult),Cimzia,Non-Preferred
Cytokine Modulators: Immunomodulators,Cimzia Polyarticular Juvenile Idiopathic Arthritis (PJIA),Cimzia,Non-Preferred
Cytokine Modulators: Immunomodulators,Cimzia Psoriatic Arthritis (adult),Cimzia,Non-Preferred
Cytokine Modulators: Immunomodulators,Cimzia Rheumatoid Arthritis,Cimzia,Non-Preferred
Respiratory: Monoclonal Antibodies for Asthma,Cinqair Asthma (adult),Cinqair,Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Ankylosing Spondylitis,Cosentyx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Enthesitis-Related Arthritis (pediatric),Cosentyx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Hidradenitis Suppurativa,Cosentyx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Non-Radiographic Axial Spondyloarthritis,Cosentyx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Plaque Psoriasis (adult),Cosentyx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Plaque Psoriasis (pediatric),Cosentyx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Psoriatic Arthritis (adult),Cosentyx,Non-Preferred
Cytokine Modulators: Immunomodulators,Cosentyx Psoriatic Arthritis (pediatric),Cosentyx,Non-Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Asthma (adult),Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Asthma (pediatric),Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Atopic Dermatitis (adult),Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Atopic Dermatitis (pediatric),Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Chronic Obstructive Pulmonary Disease (COPD),Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Chronic Rhinosinusitis with Nasal Polyposis,Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Eosinophilic Esophagitis,Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Dupixent Prurigo Nodularis,Dupixent,Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Ebglyss Atopic Dermatitis (adult),Ebglyss,Non-Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Ebglyss Atopic Dermatitis (pediatric),Ebglyss,Non-Preferred
Cytokine Modulators: Immunomodulators,Enbrel Ankylosing Spondylitis,Enbrel,Preferred
Cytokine Modulators: Immunomodulators,Enbrel Plaque Psoriasis (adult),Enbrel,Preferred
Cytokine Modulators: Immunomodulators,Enbrel Plaque Psoriasis (pediatric),Enbrel,Preferred
Cytokine Modulators: Immunomodulators,Enbrel Polyarticular Juvenile Idiopathic Arthritis (PJIA),Enbrel,Preferred
Cytokine Modulators: Immunomodulators,Enbrel Psoriatic Arthritis (adult),Enbrel,Preferred
Cytokine Modulators: Immunomodulators,Enbrel Psoriatic Arthritis (pediatric),Enbrel,Preferred
Cytokine Modulators: Immunomodulators,Enbrel Rheumatoid Arthritis,Enbrel,Preferred
Cytokine Modulators: Immunomodulators,"Entyvio Crohn’s Disease (adult), vial",Entyvio,Non-Preferred
Cytokine Modulators: Immunomodulators,"Entyvio Ulcerative Colitis (adult), vial",Entyvio,Non-Preferred
Dermatological: Atopic Dermatitis (Non-Steroidal),Eucrisa,Eucrisa,Non-Preferred
Respiratory: Monoclonal Antibodies for Asthma,Fasenra Asthma (adult),Fasenra,Preferred
Respiratory: Monoclonal Antibodies for Asthma,Fasenra Asthma (pediatric),Fasenra,Preferred
Respiratory: Monoclonal Antibodies for Asthma,Fasenra Eosinophilic Granulomatosis with Polyangitis (EGPA),Fasenra,Preferred
Cytokine Modulators: Immunomodulators,Humira Ankylosing Spondylitis,Humira,Preferred
