therapeutic_class,capsule_name,pdl_name,status
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify Asimtufii,ABILIFY ASIMTUFII 720 MG/2.4 SUSER SYR,Non-Preferred
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify Maintena,ABILIFY MAINTENA 300 MG SUSER SYR,Preferred
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify MyCite,ABILIFY MYCITE 10 MG TABSENSSTR,Non-Preferred
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify tablet,ABILIFY 10 MG TABLET,Non-Preferred
DERMATOLOGICS : ACNE PRODUCTS - ORAL,Absorica LD capsule,ABSORICA LD 16 MG CAPSULE,Non-Preferred
MEDICAL DEVICES AND SUPPLIES : GLUCOSE MONITORING TEST SUPPLIES,Accu-Chek Guide Test Strips 100 ct,ACCU-CHEK GUIDE TEST STRIP nan STRIP,Preferred
MEDICAL DEVICES AND SUPPLIES : GLUCOSE MONITORING TEST SUPPLIES,Accu-Chek Guide Test Strips 50 ct,ACCU-CHEK GUIDE TEST STRIP nan STRIP,Preferred
GASTROINTESTINAL AGENTS - ULCER DRUGS : PROTON PUMP INHIBITORS (PPI),Aciphex,ACIPHEX 20 MG TABLET DR,Non-Preferred
PULMONARY HYPERTENSION AGENTS : PHOSPHODIESTERASE INHIBITORS (PDEI),Adcirca,ADCIRCA 20 MG TABLET,Non-Preferred
ADHD / ANTI-NARCOLEPSY : STIMULANTS - LONG ACTING,Adderall XR ER capsule,ADDERALL XR 10 MG CAP ER 24H,Preferred
PULMONARY HYPERTENSION AGENTS : SGC STIMULATOR,Adempas,ADEMPAS 0.5 MG TABLET,Preferred
ANTIDIABETICS : INSULIN - RAPID ACTING,Admelog,ADMELOG 100/ML VIAL,Non-Preferred
ANTIDIABETICS : INSULIN - RAPID ACTING,Admelog SoloStar,ADMELOG SOLOSTAR 100/ML INSULN PEN,Non-Preferred
ENDOCRINE AND METABOLIC AGENTS : THYROID HORMONE - ORAL,Adthyza,ADTHYZA 120 MG TABLET,Preferred
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Advair Diskus,ADVAIR DISKUS 100-50 MCG BLST W/DEV,Non-Preferred
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Advair HFA,ADVAIR HFA 115-21MCG HFA AER AD,Non-Preferred
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Advate,ADVATE 1000 (+/-) VIAL,Preferred
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Adynovate,ADYNOVATE 1000 (+/-) VIAL,Preferred
ONCOLOGY AGENTS : MTOR KINASE INHIBITORS - ORAL,Afinitor Disperz,AFINITOR DISPERZ 3 MG TAB SUSP,Non-Preferred
ONCOLOGY AGENTS : MTOR KINASE INHIBITORS - ORAL,Afinitor tablet,AFINITOR 5 MG TABLET,Non-Preferred
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Afstyla,AFSTYLA 1000 (+/-) VIAL,Preferred
MIGRAINE AGENTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAGONISTS,Aimovig,AIMOVIG AUTOINJECTOR 140 MG/ML AUTO INJCT,Preferred
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Airduo Digihaler,AIRDUO DIGIHALER 113-14 MCG AER PW BAS,Non-Preferred
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Airduo Respiclick,AIRDUO RESPICLICK 113-14 MCG AER POW BA,Non-Preferred
ASTHMA AND COPD AGENTS : BETA AGONISTS - SHORT ACTING,Airsupra HFA,AIRSUPRA 90-80 MCG HFA AER AD,Non-Preferred
MIGRAINE AGENTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAGONISTS,Ajovy,AJOVY SYRINGE 225 MG/1.5 SYRINGE,Preferred
ONCOLOGY AGENTS : POLY (ADP-RIBOSE) POLYMERASE (PARP) INHIBITORS - ORAL,Akeega,AKEEGA 100-500 MG TABLET,Preferred
