therapeutic_class,capsule_name,pdl_name
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify Asimtufii,ABILIFY ASIMTUFII 720 MG/2.4 SUSER SYR
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify Maintena,ABILIFY MAINTENA 300 MG SUSER SYR
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify MyCite,ABILIFY MYCITE 10 MG TABSENSSTR
ANTIPSYCHOTICS / ANTIMANIC AGENTS : ANTIPSYCHOTICS - 2ND GENERATION,Abilify tablet,ABILIFY 10 MG TABLET
DERMATOLOGICS : ACNE PRODUCTS - ORAL,Absorica LD capsule,ABSORICA LD 16 MG CAPSULE
MEDICAL DEVICES AND SUPPLIES : GLUCOSE MONITORING TEST SUPPLIES,Accu-Chek Guide Test Strips 100 ct,ACCU-CHEK GUIDE TEST STRIP nan STRIP
MEDICAL DEVICES AND SUPPLIES : GLUCOSE MONITORING TEST SUPPLIES,Accu-Chek Guide Test Strips 50 ct,ACCU-CHEK GUIDE TEST STRIP nan STRIP
GASTROINTESTINAL AGENTS - ULCER DRUGS : PROTON PUMP INHIBITORS (PPI),Aciphex,ACIPHEX 20 MG TABLET DR
PULMONARY HYPERTENSION AGENTS : PHOSPHODIESTERASE INHIBITORS (PDEI),Adcirca,ADCIRCA 20 MG TABLET
ADHD / ANTI-NARCOLEPSY : STIMULANTS - LONG ACTING,Adderall XR ER capsule,ADDERALL XR 10 MG CAP ER 24H
PULMONARY HYPERTENSION AGENTS : SGC STIMULATOR,Adempas,ADEMPAS 0.5 MG TABLET
ANTIDIABETICS : INSULIN - RAPID ACTING,Admelog,ADMELOG 100/ML VIAL
ANTIDIABETICS : INSULIN - RAPID ACTING,Admelog SoloStar,ADMELOG SOLOSTAR 100/ML INSULN PEN
ENDOCRINE AND METABOLIC AGENTS : THYROID HORMONE - ORAL,Adthyza,ADTHYZA 120 MG TABLET
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Advair Diskus,ADVAIR DISKUS 100-50 MCG BLST W/DEV
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Advair HFA,ADVAIR HFA 115-21MCG HFA AER AD
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Advate,ADVATE 1000 (+/-) VIAL
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Adynovate,ADYNOVATE 1000 (+/-) VIAL
ONCOLOGY AGENTS : MTOR KINASE INHIBITORS - ORAL,Afinitor Disperz,AFINITOR DISPERZ 3 MG TAB SUSP
ONCOLOGY AGENTS : MTOR KINASE INHIBITORS - ORAL,Afinitor tablet,AFINITOR 5 MG TABLET
HEMATOLOGICAL AGENTS : ANTIHEMOPHILIC PRODUCTS,Afstyla,AFSTYLA 1000 (+/-) VIAL
MIGRAINE AGENTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAGONISTS,Aimovig,AIMOVIG AUTOINJECTOR 140 MG/ML AUTO INJCT
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Airduo Digihaler,AIRDUO DIGIHALER 113-14 MCG AER PW BAS
ASTHMA AND COPD AGENTS : INHALED CORTICOSTEROID COMBINATIONS,Airduo Respiclick,AIRDUO RESPICLICK 113-14 MCG AER POW BA
ASTHMA AND COPD AGENTS : BETA AGONISTS - SHORT ACTING,Airsupra HFA,AIRSUPRA 90-80 MCG HFA AER AD
MIGRAINE AGENTS : CALCITONIN GENE-RELATED PEPTIDE (CGRP) RECEPTOR ANTAGONISTS,Ajovy,AJOVY SYRINGE 225 MG/1.5 SYRINGE
ONCOLOGY AGENTS : POLY (ADP-RIBOSE) POLYMERASE (PARP) INHIBITORS - ORAL,Akeega,AKEEGA 100-500 MG TABLET
