therapeutic_class,capsule_name,pdl_name,status
AUTONOMIC AND CNS MEDICATIONS,Abilify Asimtufii,ABILIFY ASIMTUFII,Preferred
AUTONOMIC AND CNS MEDICATIONS,Abilify Maintena,ABILIFY MAINTENA,Preferred
AUTONOMIC AND CNS MEDICATIONS,Abilify MyCite,ABILIFY MYCITE,Non-Preferred
GASTROINTESTINAL MEDICATIONS,Aciphex,ACIPHEX SPRINKLES,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra ACTPen, Giant Cell Arteritis",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra ACTPen, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra ACTPen, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra ACTPen, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra ACTPen, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,Actemra Cytokine Release Syndrome,ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,Actemra prefilled syringe,ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra prefilled syringe, Cytokine Release Syndrome",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra prefilled syringe, Giant Cell Arteritis",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra prefilled syringe, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra prefilled syringe, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra prefilled syringe, Systemic Sclerosis-Associated Interstitial Lung Disease (SSc-ILD)",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra prefilled syringe, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,Actemra syringe/vial,ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,Actemra vial,ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra vial, Coronavirus Disease 2019",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra vial, Cytokine Release Syndrome",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra vial, Giant Cell Arteritis",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra vial, Polyarticular Juvenile Idiopathic Arthritis (PJIA)",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra vial, Rheumatoid Arthritis",ACTEMRA,Non-Preferred
MUSCULOSKELETAL MEDICATIONS,"Actemra vial, Systemic-Onset Juvenile Idiopathic Arthritis (SJIA)",ACTEMRA,Non-Preferred
IMMUNOSUPPRESSANT DRUGS,Adbry,ADBRY,Preferred
IMMUNOSUPPRESSANT DRUGS,Adbry Atopic Dermatitis (adult),ADBRY,Preferred
IMMUNOSUPPRESSANT DRUGS,"Adbry Atopic Dermatitis (adult), auto-injector",ADBRY,Preferred
IMMUNOSUPPRESSANT DRUGS,"Adbry Atopic Dermatitis (adult), prefilled syringe",ADBRY,Preferred
IMMUNOSUPPRESSANT DRUGS,Adbry Atopic Dermatitis (pediatric),ADBRY,Preferred
IMMUNOSUPPRESSANT DRUGS,Adbry auto-injector,ADBRY,Preferred
IMMUNOSUPPRESSANT DRUGS,Adbry prefilled syringe,ADBRY,Preferred
