Therapeutic Class,Drug Name,Dosage Form,Status
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DYANAVEL XR,SUER,PREFERRED_WITH_PA
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DYANAVEL XR,TBCR,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,ADZENYS XR-ODT,TBED,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,AMPHETAMINE SULFATE,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,EVEKEO,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,EVEKEO ODT,TBDP,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,XELSTRYM,PTCH,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXEDRINE,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXTROAMPHETAMINE SULFATE ER,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXTROAMPHETAMINE SULFATE,SOLN,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,PROCENTRA,SOLN,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,DEXTROAMPHETAMINE SULFATE,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,ZENZEDI,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,LISDEXAMFETAMINE DIMESYLATE,CAPS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,VYVANSE,CAPS,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,LISDEXAMFETAMINE DIMESYLATE,CHEW,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,VYVANSE,CHEW,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,METHAMPHETAMINE HYDROCHLORIDE,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,ADDERALL XR,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,AMPHETAMINE/DEXTROAMPHETAMINE,CP24,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,AMPHETAMINE/DEXTROAMPHETAMINE 3 Bead CAP ER,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,AMPHETAMINE/DEXTROAMPHETAMINE ER,CP24,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,MYDAYIS,CP24,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,ADDERALL,TABS,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : AMPHETAMINES,AMPHETAMINE/DEXTROAMPHETAMINE,TABS,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,ONYDA XR,SUER,NON_PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,CLONIDINE HCL ER,TB12,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,CLONIDINE HYDROCHLORIDE,TB12,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,CLONIDINE HYDROCHLORIDE ER,TB12,PREFERRED
ADHD / ANTI-NARCOLEPSY AGENTS : MISC,GUANFACINE HYDROCHLORIDEER,TB24,PREFERRED
