therapeutic_class,capsule_name,pdl_name
"

",Abilify,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)"
"

",Abilify MyCite,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)"
Antipsychotic Injectable Agents,Abilify Asimtufii,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena)
Antipsychotic Injectable Agents,Abilify Maintena,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena)
Cytokine and CAM Antagonists,Abrilada,"Adalimumab-afzb Kit, Pen Kit (Abrilada)"
"

",Aciphex,Rabeprazole Tablet (Generic; AcipHex)
Cytokine and CAM Antagonists Continued,Actemra prefilled syringe,"Tocilizumab Pen, Syringe, Vial (Actemra)"
Cytokine and CAM Antagonists Continued,Actemra vial,"Tocilizumab Pen, Syringe, Vial (Actemra)"
SICKLE CELL ANEMIA ,Adakveo,Crizanlizumab-tmca Infusion (Adakveo)
Cytokine and CAM Antagonists,Adalimumab-adaz,"Adalimumab-adaz Kit, Pen Kit"
Cytokine and CAM Antagonists,Adalimumab-adbm auto-injector,"Adalimumab-adbm Kit, Pen Kit"
Cytokine and CAM Antagonists,Adalimumab-fkjp auto-injector,"Adalimumab-fkjp Kit, Pen Kit"
Emollients,Adbry,"Tralokinumab-ldrm Autoinjector, Syringe (Adbry)"
Pulmonary Arterial Hypertension (PAH),Adcirca,Tadalafil Tablet (Adcirca)
Stimulants and Related Agents,Adderall XR ER capsule,Amphetamine Salt Combo ER Capsule(Adderall XR)
Pulmonary Arterial Hypertension (PAH),Adempas,Riociguat Tablet (Adempas)
Insulins & Related Agents,Admelog,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)"
Insulins & Related Agents,Admelog SoloStar,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)"
Immunomodulators,Advair Diskus,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)"
Immunomodulators,Advair HFA,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)"
HEMOPHILIA TREATMENT ,Advate,"Factor VIII, Full-Length (Advate)"
HEMOPHILIA TREATMENT ,Adynovate,"Factor VIII, Full-Length PEGylated (Adynovate)"
HEMOPHILIA TREATMENT ,Afstyla,"Factor VIII, Single-Chain, B-Domain Truncated (Afstyla)"
CGRP Antagonists,Aimovig,Erenumab-aooe Autoinjector (Aimovig)
Immunomodulators,Airduo Digihaler,Fluticasone/Salmeterol Inhalation Powder (AirDuo Digihaler)
Immunomodulators,Airduo Respiclick,Fluticasone/Salmeterol Inhalation Powder (AG; AirDuo RespiClick)
Immunomodulators,Airsupra HFA,Albuterol/Budesonide (AirSupra HFA)
CGRP Antagonists,Ajovy,"Fremanezumab-vfrm Autoinjector, 3-Pack, Syringe (Ajovy)"
Oral – Lung,Alecensa,Alectinib HCl Capsule (Alecensa)
Pulmonary Arterial Hypertension (PAH),Ambrisentan,Ambrisentan Tablet (Generic)
