therapeutic_class,capsule_name,pdl_name,status
"

",Abilify,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)",Non-Preferred
"

",Abilify MyCite,"Aripiprazole Tablet, Tablet with Sensor (Abilify; Abilify Mycite)",Non-Preferred
Antipsychotic Injectable Agents,Abilify Asimtufii,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena),Preferred
Antipsychotic Injectable Agents,Abilify Maintena,Aripiprazole Suspension ER (Abilify Asimtufii/Maintena),Preferred
Cytokine and CAM Antagonists,Abrilada,"Adalimumab-afzb Kit, Pen Kit (Abrilada)",Non-Preferred
"

",Aciphex,Rabeprazole Tablet (Generic; AcipHex),Non-Preferred
Cytokine and CAM Antagonists Continued,Actemra prefilled syringe,"Tocilizumab Pen, Syringe, Vial (Actemra)",Non-Preferred
Cytokine and CAM Antagonists Continued,Actemra vial,"Tocilizumab Pen, Syringe, Vial (Actemra)",Non-Preferred
SICKLE CELL ANEMIA ,Adakveo,Crizanlizumab-tmca Infusion (Adakveo),Non-Preferred
Cytokine and CAM Antagonists,Adalimumab-adaz,"Adalimumab-adaz Kit, Pen Kit",Preferred
Cytokine and CAM Antagonists,Adalimumab-adbm auto-injector,"Adalimumab-adbm Kit, Pen Kit",Preferred
Cytokine and CAM Antagonists,Adalimumab-fkjp auto-injector,"Adalimumab-fkjp Kit, Pen Kit",Non-Preferred
Emollients,Adbry,"Tralokinumab-ldrm Autoinjector, Syringe (Adbry)",Preferred
Pulmonary Arterial Hypertension (PAH),Adcirca,Tadalafil Tablet (Adcirca),Non-Preferred
Stimulants and Related Agents,Adderall XR ER capsule,Amphetamine Salt Combo ER Capsule(Adderall XR),Non-Preferred
Pulmonary Arterial Hypertension (PAH),Adempas,Riociguat Tablet (Adempas),Non-Preferred
Insulins & Related Agents,Admelog,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)",Non-Preferred
Insulins & Related Agents,Admelog SoloStar,"Insulin Lispro Pen, Vial (Admelog SoloStar; Admelog)",Non-Preferred
Immunomodulators,Advair Diskus,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)",Non-Preferred
Immunomodulators,Advair HFA,"Fluticasone/Salmeterol DPI, MDI (Advair Diskus; Advair HFA)",Non-Preferred
HEMOPHILIA TREATMENT ,Advate,"Factor VIII, Full-Length (Advate)",Non-Preferred
HEMOPHILIA TREATMENT ,Adynovate,"Factor VIII, Full-Length PEGylated (Adynovate)",Non-Preferred
HEMOPHILIA TREATMENT ,Afstyla,"Factor VIII, Single-Chain, B-Domain Truncated (Afstyla)",Non-Preferred
CGRP Antagonists,Aimovig,Erenumab-aooe Autoinjector (Aimovig),Preferred
Immunomodulators,Airduo Digihaler,Fluticasone/Salmeterol Inhalation Powder (AirDuo Digihaler),Non-Preferred
Immunomodulators,Airduo Respiclick,Fluticasone/Salmeterol Inhalation Powder (AG; AirDuo RespiClick),Non-Preferred
Immunomodulators,Airsupra HFA,Albuterol/Budesonide (AirSupra HFA),Non-Preferred
CGRP Antagonists,Ajovy,"Fremanezumab-vfrm Autoinjector, 3-Pack, Syringe (Ajovy)",Preferred
Oral – Lung,Alecensa,Alectinib HCl Capsule (Alecensa),Preferred
Pulmonary Arterial Hypertension (PAH),Ambrisentan,Ambrisentan Tablet (Generic),Preferred
