ST,Drugs,Class
AL,Abilify tablet,Antipsychotics
AL,Abilify MyCite,Antipsychotics
AK,Abilify tablet,Antipsychotics
AK,Abilify MyCite,Antipsychotics
AZ,Abilify tablet,Antipsychotics
AZ,Abilify MyCite,Antipsychotics
AR,Abilify tablet,Antipsychotics
AR,Abilify MyCite,Antipsychotics
CA,Abilify tablet,Antipsychotics
CA,Abilify MyCite,Antipsychotics
CO,Abilify tablet,Antipsychotics
CO,Abilify MyCite,Antipsychotics
CT,Abilify tablet,Antipsychotics
CT,Abilify MyCite,Antipsychotics
DE,Abilify MyCite,Antipsychotics
DE,Abilify tablet,Antipsychotics
DC,Abilify tablet,Antipsychotics
DC,Abilify MyCite,Antipsychotics
FL,Abilify tablet,Antipsychotics
FL,Abilify MyCite,Antipsychotics
GA,Abilify tablet,Antipsychotics
GA,Abilify MyCite,Antipsychotics
HI,Abilify tablet,Antipsychotics
HI,Abilify MyCite,Antipsychotics
ID,Abilify tablet,Antipsychotics
ID,Abilify MyCite,Antipsychotics
IL,Abilify tablet,Antipsychotics
IL,Abilify MyCite,Antipsychotics
IN,Abilify tablet,Antipsychotics
IN,Abilify MyCite,Antipsychotics
IA,Abilify tablet,Antipsychotics
IA,Abilify MyCite,Antipsychotics
KS,Abilify tablet,Antipsychotics
KS,Abilify MyCite,Antipsychotics
KY,Abilify tablet,Antipsychotics
KY,Abilify MyCite,Antipsychotics
LA,Abilify tablet,Antipsychotics
LA,Abilify MyCite,Antipsychotics
ME,Abilify tablet,Antipsychotics
ME,Abilify MyCite,Antipsychotics
MD,Abilify tablet,Antipsychotics
MD,Abilify MyCite,Antipsychotics
MA,Abilify tablet,Antipsychotics
MA,Abilify MyCite,Antipsychotics
MI,Abilify tablet,Antipsychotics
MI,Abilify MyCite,Antipsychotics
MN,Abilify tablet,Antipsychotics
MN,Abilify MyCite,Antipsychotics
MS,Abilify tablet,Antipsychotics
MS,Abilify MyCite,Antipsychotics
MO,Abilify tablet,Antipsychotics
MO,Abilify MyCite,Antipsychotics
MT,Abilify tablet,Antipsychotics
MT,Abilify MyCite,Antipsychotics
NE,Abilify tablet,Antipsychotics
NE,Abilify MyCite,Antipsychotics
NV,Abilify tablet,Antipsychotics
NV,Abilify MyCite,Antipsychotics
NH,Abilify tablet,Antipsychotics
NH,Abilify MyCite,Antipsychotics
NJ,Abilify tablet,Antipsychotics
NJ,Abilify MyCite,Antipsychotics
NM,Abilify tablet,Antipsychotics
NM,Abilify MyCite,Antipsychotics
NY,Abilify MyCite,Antipsychotics
NY,Abilify tablet,Antipsychotics
NC,Abilify tablet,Antipsychotics
NC,Abilify MyCite,Antipsychotics
ND,Abilify tablet,Antipsychotics
ND,Abilify MyCite,Antipsychotics
OH,Abilify tablet,Antipsychotics
OH,Abilify MyCite,Antipsychotics
OK,Abilify tablet,Antipsychotics
OK,Abilify MyCite,Antipsychotics
OR,Abilify tablet,Antipsychotics
OR,Abilify MyCite,Antipsychotics
PA,Abilify tablet,Antipsychotics
PA,Abilify MyCite,Antipsychotics
PR,Abilify tablet,Antipsychotics
PR,Abilify MyCite,Antipsychotics
RI,Abilify tablet,Antipsychotics
RI,Abilify MyCite,Antipsychotics
SC,Abilify tablet,Antipsychotics
SC,Abilify MyCite,Antipsychotics
SD,Abilify tablet,Antipsychotics
SD,Abilify MyCite,Antipsychotics
TN,Abilify tablet,Antipsychotics
TN,Abilify MyCite,Antipsychotics
TX,Abilify tablet,Antipsychotics
TX,Abilify MyCite,Antipsychotics
UT,Abilify tablet,Antipsychotics
UT,Abilify MyCite,Antipsychotics
VT,Abilify tablet,Antipsychotics
VT,Abilify MyCite,Antipsychotics
VA,Abilify tablet,Antipsychotics
VA,Abilify MyCite,Antipsychotics
WA,Abilify tablet,Antipsychotics
WA,Abilify MyCite,Antipsychotics
WV,Abilify tablet,Antipsychotics
WV,Abilify MyCite,Antipsychotics
WI,Abilify tablet,Antipsychotics
WI,Abilify MyCite,Antipsychotics
WY,Abilify tablet,Antipsychotics
WY,Abilify MyCite,Antipsychotics
AL,Abilify Asimtufii,Antipsychotics
AK,Abilify Asimtufii,Antipsychotics
AZ,Abilify Asimtufii,Antipsychotics
AR,Abilify Asimtufii,Antipsychotics
CA,Abilify Asimtufii,Antipsychotics
CO,Abilify Asimtufii,Antipsychotics
CT,Abilify Asimtufii,Antipsychotics
DE,Abilify Asimtufii,Antipsychotics
DC,Abilify Asimtufii,Antipsychotics
FL,Abilify Asimtufii,Antipsychotics
GA,Abilify Asimtufii,Antipsychotics
HI,Abilify Asimtufii,Antipsychotics
ID,Abilify Asimtufii,Antipsychotics
IL,Abilify Asimtufii,Antipsychotics
IN,Abilify Asimtufii,Antipsychotics
IA,Abilify Asimtufii,Antipsychotics
KS,Abilify Asimtufii,Antipsychotics
KY,Abilify Asimtufii,Antipsychotics
LA,Abilify Asimtufii,Antipsychotics
ME,Abilify Asimtufii,Antipsychotics
MD,Abilify Asimtufii,Antipsychotics
MA,Abilify Asimtufii,Antipsychotics
MI,Abilify Asimtufii,Antipsychotics
MN,Abilify Asimtufii,Antipsychotics
MS,Abilify Asimtufii,Antipsychotics
MO,Abilify Asimtufii,Antipsychotics
MT,Abilify Asimtufii,Antipsychotics
NE,Abilify Asimtufii,Antipsychotics
NV,Abilify Asimtufii,Antipsychotics
NH,Abilify Asimtufii,Antipsychotics
NJ,Abilify Asimtufii,Antipsychotics
