ST,Class
AK,ANDROGENIC AGENTS
AK,ANTIEMETIC/ANTIVERTIGO AGENTS
AK,ANTIHYPERURICEMICS
AK,BONE RESORPTION SUPPRESSION AND RELATED AGENTS
AK,CYTOKINE AND CAM ANTAGONISTS
AK,"DIABETES METERS, CONTINUOUS"
AK,"GI MOTILITY, CHRONIC"
AK,GLUCAGON AGENTS
AK,GROWTH HORMONE
AK,HIV / AIDS
AK,"HYPOGLYCEMICS, ALPHA-GLUCOSIDASE INHIBITORS"
AK,"HYPOGLYCEMICS, INCRETIN MIMETICS/ENHANCERS"
AK,"HYPOGLYCEMICS, INSULIN AND RELATED AGENTS"
AK,"HYPOGLYCEMICS, METFORMINS"
AK,"HYPOGLYCEMICS, SGLT2"
AK,"HYPOGLYCEMICS, TZD"
AK,MOVEMENT DISORDERS
AK,PHOSPHATE BINDERS
AK,PROTON PUMP INHIBITORS
AK,ULCERATIVE COLITIS AGENTS
AK,"UREA CYCLE DISORDERS, ORAL"
AK,ALZHEIMER'S AGENTS
AK,"ANALGESICS, NARCOTICS LONG"
AK,"ANALGESICS, NARCOTICS SHORT"
AK,"ANTIBIOTICS, INHALED"
AK,ANTICONVULSANTS
AK,"ANTIDEPRESSANTS, OTHER"
AK,"ANTIDEPRESSANTS, SSRIs"
AK,"ANTIMIGRAINE AGENTS, OTHER"
AK,"ANTIMIGRAINE AGENTS, TRIPTANS"
AK,ANTIPSYCHOTICS - ATYPICAL
AK,"CYSTIC FIBROSIS, ORAL"
AK,MULTIPLE SCLEROSIS AGENTS
AK,NEUROPATHIC PAIN
AK,NSAIDS
AK,OPIATE DEPENDENCE TREATMENTS
AK,OPIATE DEPENDENCE TREATMENTS -REVERSAL AGENTS
AK,PANCREATIC ENZYMES
AK,RESTLESS LEG SYNDROME
AK,SEDATIVE HYPNOTICS
AK,SKELETAL MUSCLE RELAXANTS
AK,SMOKING CESSATION
AK,STIMULANTS AND RELATED AGENTS
AK,"ACNE AGENTS, TOPICAL"
AK,"ANTIHISTAMINES, MINIMALLY SEDATING"
AK,"ANTIPSORIATICS, TOPICAL"
AK,"BRONCHODILATORS, BETA AGONIST"
AK,COPD AGENTS
AK,"EPINEPHRINE, SELF-INJECTED"
AK,"GLUCOCORTICOIDS, INHALED"
AK,"IMMUNOMODULATORS, ASTHMA"
AK,"IMMUNOMODULATORS, ATOPIC DERMATITIS"
AK,"IMMUNOSUPPRESSIVES, ORAL"
AK,INTRANASAL RHINITIS AGENTS
AK,LEUKOTRIENE MODIFIERS
AK,OPHTHALMIC ANTIBIOTICS
AK,OPHTHALMIC ANTIBIOTIC-STEROID COMBINATIONS
AK,OPHTHALMICS FOR ALLERGIC CONJUNCTIVITIS
AK,"OPHTHALMICS, ANTI-INFLAMMATORIES"
AK,"OPHTHALMICS, ANTI-INFLAMMATORY/IMMUNOMODULATOR"
AK,"OPHTHALMICS, GLAUCOMA AGENTS"
AK,"STEROIDS, TOPICAL HIGH"
AK,"STEROIDS, TOPICAL LOW"
AK,"STEROIDS, TOPICAL MEDIUM"
AK,"STEROIDS, TOPICAL VERY HIGH"
AK,ANGIOTENSIN MODULATOR COMBINATIONS
AK,ANGIOTENSIN MODULATORS
AK,ANTIANGINAL & ANTI-ISCHEMIC
AK,"ANTIBIOTICS, VAGINAL"
AK,ANTICOAGULANTS
AK,"ANTIFUNGALS, ORAL"
AK,"ANTIFUNGALS, TOPICAL"
AK,"ANTIVIRALS, GENERAL"
AK,"ANTIVIRALS, ORAL"
AK,BETA-BLOCKERS
AK,BLADDER RELAXANT PREPARATIONS
AK,BPH TREATMENTS
AK,CALCIUM CHANNEL BLOCKERS
AK,ERYTHROPOIESIS STIMULATING PROTEINS
AK,"FLUOROQUINOLONES, ORAL"
AK,HAE TREATMENTS
AK,HEMOPHILIA TREATMENT
AK,HEPATITIS B AGENTS
AK,HEPATITIS C AGENTS
AK,HEPATITIS C AGENTS - DAA
AK,"LIPOTROPICS, OTHER"
AK,"LIPOTROPICS, OTHER - PCSK-9 INHIBITORS"
AK,OTIC ANTIBIOTICS
AK,"PAH AGENTS, ORAL AND INHALED"
AK,PLATELET AGGREGATION INHIBITORS
AL,Antigout Agents
AL,First Generation Antihistamine Agents
AL,Adamantanes
AL,Amebicides
AL,Aminoglycosides
AL,Anthelmintics
AL,Antifungals
AL,Antimalarials
AL,Antimalarials (continued)
AL,Antituberculosis Agents
AL,Cephalosporins
AL,Chloramphenicol
AL,HCV Antivirals
AL,Interferons
AL,Macrolides
AL,Miscellaneous Antibacterials
AL,Miscellaneous Antimycobacterials
AL,Miscellaneous Antiprotozoals
AL,Miscellaneous Antivirals
AL,Miscellaneous β-Lactams
AL,Neuraminidase Inhibitors
AL,Nucleosides and Nucleotides
AL,Penicillins
AL,Quinolones
AL,Sulfonamides
AL,Tetracyclines
